timestamp_utc,name,to,subject,status
2026-06-26T18:31:57.274309+00:00,JDV MedSpa of Chattanooga,amlabonne01@gmail.com,the leads who don't book online,SENT
2026-06-26T18:32:04.407285+00:00,Spa 35 Med Spa,betterskin@spa35.com,the leads who don't book online,SENT
2026-06-26T18:32:11.358786+00:00,Blush Med Spa,sherry@blushmedspaidaho.com,the leads who don't book online,SENT
2026-06-26T18:32:18.135309+00:00,Randall E. Reagan Attorney At Law,justice@randallreagan.com,quick thought on your intake,SENT
2026-06-26T18:32:24.844170+00:00,Law Office of Tom Farrell,farrelllaw@yahoo.com,quick thought on your intake,SENT
2026-06-26T18:32:31.643911+00:00,"Wykoff & Sikes, PLLC",wayne@wykoffandsikes.com,quick thought on your intake,SENT
2026-06-26T18:32:38.503698+00:00,Idaho Divorce Center,joe@joefricklaw.com,Idaho Divorce Center's reviews,SENT
2026-06-26T18:32:45.270475+00:00,Bernard Schaefer,attorney@bernardschaefer.com,Bernard Schaefer's reviews,SENT
2026-06-26T18:32:52.007744+00:00,Mason Law,craigmasonmason@yahoo.com,Mason Law's reviews,SENT
2026-06-26T18:32:58.892428+00:00,Casper Heating & Cooling LLC,casperheatcool@gmail.com,quick one about Boise leads,SENT
2026-06-26T18:33:05.667479+00:00,Butler Heating & Air Conditioning,gobutlerheating@gmail.com,Butler Heating's reviews,SENT
2026-06-26T18:33:12.457471+00:00,"G.R.I.P.S., Inc.",sdykstra@gripsmc.com,G.R.I.P.S. reviews,SENT
2026-06-26T18:33:19.267416+00:00,Legacy Roofing & Restorations,jeremylegacyroofing@gmail.com,quick one about Coopersville leads,SENT
2026-06-26T18:33:26.131165+00:00,Lake Michigan Construction,officecrew.lmc@gmail.com,quick one about Holland leads,SENT
2026-06-26T18:33:32.946346+00:00,Allen's Roofing,tallenroofing@gmail.com,quick one about Knoxville leads,SENT
