timestamp_utc,name,to,subject,status
2026-06-30T04:12:09.546409+00:00,JDV MedSpa of Chattanooga,amlabonne01@gmail.com,re: the leads who don't book online,SENT
2026-06-30T04:12:16.675571+00:00,Spa 35 Med Spa,betterskin@spa35.com,re: the leads who don't book online,SENT
2026-06-30T04:12:23.788232+00:00,Blush Med Spa,sherry@blushmedspaidaho.com,re: the leads who don't book online,SENT
2026-06-30T04:12:30.918115+00:00,Randall E. Reagan Attorney At Law,justice@randallreagan.com,re: your intake,SENT
2026-06-30T04:12:38.031529+00:00,Law Office of Tom Farrell,farrelllaw@yahoo.com,re: your intake,SENT
2026-06-30T04:12:45.452556+00:00,"Wykoff & Sikes, PLLC",wayne@wykoffandsikes.com,re: your intake,SENT
2026-06-30T04:12:52.586163+00:00,Idaho Divorce Center,joe@joefricklaw.com,re: your intake,SENT
2026-06-30T04:12:59.744657+00:00,Bernard Schaefer,attorney@bernardschaefer.com,re: your intake,SENT
2026-06-30T04:13:06.919856+00:00,Mason Law,craigmasonmason@yahoo.com,re: your intake,SENT
2026-06-30T04:13:14.131202+00:00,Casper Heating & Cooling LLC,casperheatcool@gmail.com,re: Boise leads,SENT
2026-06-30T04:13:21.280198+00:00,Butler Heating & Air Conditioning,gobutlerheating@gmail.com,re: Boise leads,SENT
2026-06-30T04:13:28.400666+00:00,"G.R.I.P.S., Inc.",sdykstra@gripsmc.com,re: Grandville leads,SENT
2026-06-30T04:13:35.574335+00:00,Legacy Roofing & Restorations,jeremylegacyroofing@gmail.com,re: Coopersville leads,SENT
2026-06-30T04:13:42.650083+00:00,Lake Michigan Construction,officecrew.lmc@gmail.com,re: Holland leads,SENT
2026-06-30T04:13:49.803438+00:00,Allen's Roofing,tallenroofing@gmail.com,re: Knoxville leads,SENT
