timestamp_utc,name,to,subject,status
2026-06-30T04:09:00.057642+00:00,Simons Hall Johnston,ttribble@shjnevada.com,3 reviews for Simons Hall Johnston?,SENT
2026-06-30T04:09:07.280777+00:00,Carucci & Associates Attorneys at Law,info@nvlitigators.com,2 reviews for Carucci & Associates Attorneys at Law?,SENT
2026-06-30T04:09:14.472132+00:00,Carlson & Work,christi@renolawfirm.com,a quick thought on your intake,SENT
2026-06-30T04:09:21.555637+00:00,Jesse Kalter Law,jesse@jessekalterlaw.com,a quick thought on your intake,SENT
2026-06-30T04:09:28.683607+00:00,The Law Office of Stephen H. Osborne Ltd.,stephen@stephenosbornelaw.com,a quick thought on your intake,SENT
2026-06-30T04:09:35.816197+00:00,Friedman & Throop,jthroop@friedmanthroop.com,a quick thought on your intake,SENT
2026-06-30T04:09:42.939137+00:00,"Law Offices of Roberto Puentes Jr., Esq",roberto@puenteslaw.com,a quick thought on your intake,SENT
2026-06-30T04:09:50.010339+00:00,Law Offices of David A. Hornbeck,davidhornbecklaw@msn.com,4 reviews for Law Offices of David A. Hornbeck?,SENT
2026-06-30T04:09:57.164477+00:00,Jorgensen Brownell & Pepin,fhellard@jbplegal.com,11 reviews for Jorgensen Brownell & Pepin?,SENT
2026-06-30T04:10:04.280818+00:00,Melusky Law Office,david@hmlegaloffice.com,4 reviews for Melusky Law Office?,SENT
2026-06-30T04:10:11.360649+00:00,"Bendinelli Law Firm, PC",dara@colawfirm.com,"1 review for Bendinelli Law Firm, PC?",SENT
2026-06-30T04:10:18.554710+00:00,"Steve Ray Law, PLLC",steve@steveray.lawyer,a quick thought on your intake,SENT
2026-06-30T04:10:25.671093+00:00,Hadfield Stieben & Doutt,alayna@hsdlawfirm.com,a quick thought on your intake,SENT
2026-06-30T04:10:32.771887+00:00,"Wick & Trautwein, LLC",kward@wicklaw.com,a quick thought on your intake,SENT
2026-06-30T04:10:39.876766+00:00,"Cummings & Petrone, LLC Attorneys at Law",joe@cummingsandpetronelaw.com,a quick thought on your intake,SENT
2026-06-30T04:10:46.983120+00:00,Ores Law,nick@oreslaw.com,a quick thought on your intake,SENT
2026-06-30T04:10:54.167974+00:00,"Paschall Plumbing, Heating, and Cooling",angela@pashallplus.com,quick one about Reno leads,SENT
2026-06-30T04:11:01.298057+00:00,Nevada Heating,info@nevadaheating.com,quick one about Reno leads,SENT
2026-06-30T04:11:08.419733+00:00,"B & B Heating and Air, LLC",admin@bbhareno.com,quick one about Reno leads,SENT
2026-06-30T04:11:15.542937+00:00,All Hours Air,dispatch@allhoursair.com,quick one about Reno leads,SENT
2026-06-30T04:11:22.895832+00:00,Mountain West Heating and Air Conditioning,info@mountainwestac.com,quick one about Reno leads,SENT
2026-06-30T04:11:30.127453+00:00,Hadlock Mechanical,hadlock21@gmail.com,4 reviews for Hadlock Mechanical?,SENT
2026-06-30T04:11:37.210844+00:00,Treat's Heating & Cooling,frontdesk@treatsheating.com,quick one about Tacoma leads,SENT
2026-06-30T04:11:44.398165+00:00,Best Choice Heating,bestchoiceheating@comcast.net,quick one about Tacoma leads,SENT
2026-06-30T04:11:51.580989+00:00,Washington Energy Services,info@washingtonenergy.com,quick one about Tacoma leads,SENT
2026-06-30T04:11:58.699285+00:00,Sunworks,info@sunworksplus.com,quick one about Tacoma leads,SENT
2026-06-30T04:12:05.840076+00:00,Mercurios Heating & Air Conditioning,info@mercurios.com,quick one about Tacoma leads,SENT
2026-06-30T04:12:13.045134+00:00,"Serenity Air, Inc.",info@serenityairinc.com,quick one about Tacoma leads,SENT
2026-06-30T04:12:20.134257+00:00,Above the Best HVAC,service@abovethebesthvac.com,11 reviews for Above the Best HVAC?,SENT
2026-06-30T04:12:27.281292+00:00,Red Diamond Roofing,info@reddiamondroofing.com,quick one about Fort Collins leads,SENT
2026-06-30T04:12:34.391122+00:00,Peterich Construction & Roofing,impallari@gmail.com,quick one about Fort Collins leads,SENT
2026-06-30T04:12:41.548059+00:00,CCG Roofing & Project Management,info@ccgroofingcolorado.com,quick one about Fort Collins leads,SENT
2026-06-30T04:12:48.656475+00:00,Greater Front Range Roofing,matt@gfrroofing.com,quick one about Fort Collins leads,SENT
2026-06-30T04:12:55.828793+00:00,Elite Roofing Services,bob@roofsbyelite.com,quick one about Fort Collins leads,SENT
2026-06-30T04:13:02.961840+00:00,Highroad Roofing,info@highroadroofing.com,quick one about Fort Collins leads,SENT
2026-06-30T04:13:10.150614+00:00,Fort Roof Repair,collineliot556@gmail.com,quick one about Fort Collins leads,SENT
2026-06-30T04:13:17.248882+00:00,Josh Brooks Construction,joshbrooksconstruction@gmail.com,quick one about Fort Collins leads,SENT
2026-06-30T04:13:24.442081+00:00,Assurance Contractors,info@assurancecontractors.com,quick one about Fort Collins leads,SENT
2026-06-30T04:13:31.555745+00:00,Advanced Roofing Technologies,info@advancedroofingtechnologies.com,quick one about Fort Collins leads,SENT
2026-06-30T04:13:38.692565+00:00,The Roofing Center,office@roofingcenter.com,quick one about Fort Collins leads,SENT
2026-06-30T04:13:45.850132+00:00,Gafco Roofing and Construction,gafcoroofingandconstruction@yahoo.com,quick one about Tacoma leads,SENT
2026-06-30T04:13:53.090521+00:00,DHT Construction and Roofing,curtis.dht@gmail.com,quick one about Tacoma leads,SENT
2026-06-30T04:14:00.791920+00:00,"Chase Construction Northwest, Inc.",info@chasenw.com,quick one about Tacoma leads,SENT
2026-06-30T04:14:08.080353+00:00,JT Roofing,jtcorporation1@gmail.com,quick one about Tacoma leads,SENT
2026-06-30T04:14:15.264212+00:00,Hawks Remodeling,support@hawksremodeling.com,quick one about Tacoma leads,SENT
